1 18666
2 31275
3 126
4 405
5 2952
6 126
7 657
8 126
9 20889
10 117
11 135
12 21933
13 180
14 378
15 3033
16 34110
17 12267
18 153
19 23679
20 171
21 324
22 171
23 162
24 144
25 846
26 675
27 324
28 135
29 1134
30 117
31 225
32 126
33 126
34 6246
35 117
36 657
37 459
38 117
39 171
40 864
41 270
42 108
43 720
44 324
45 108
46 2430
47 117
48 135
49 162
50 153
51 117
52 135
53 1440
54 2313
55 153
56 162
57 2430
58 369
59 414
60 207
61 126
62 108
63 567
64 216
65 135
66 306
67 234
68 171
69 171
70 117
71 684
72 117
73 11772
74 342
75 612
76 1827
77 153
78 252
79 1674
80 153
81 288
82 180
83 657
84 342
85 180
86 135
87 819
88 126
89 1881
90 117
91 360
92 486
93 135
94 2052
95 486
96 1890
97 1296
98 1143
99 765
100 162
101 117
102 315
103 234
104 144
